Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization ZIP Code,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,Complete County Name,County Equivalent Name
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-012419,Western Maine Family Health Center,16 Depot St STE 300,Livermore Falls,04254-1311,207-897-4345,www.healthreachchc.org,49.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.18889202,44.47266758,Y,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-015349,Bolduc Avenue Health Center,12 Bolduc Ave,Fort Kent,04743-1602,207-834-3971,www.frrh.org,59,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.58968541,47.26469089,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009915,CCS Family Health Center,100 Campus Ave,Lewiston,04240-6040,207-755-3445,www.communityclinicalservices.com,57,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.19933302,44.1024854,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019520,Ashland District School,180 Presque Isle Rd,Ashland,04732-3414,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.39368441,46.62703827,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-005787,COLONIAL ACRES NURSING HOME,Workman Ter,Lincoln,04457,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.50305365,45.35507838,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017470,CCS Pediatrics,330 Sabattus St STE B,Lewiston,04240-5553,207-755-3160 x20751,www.communityclinicalservices.com,51,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.19994113,44.10072306,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002892,MADISON AREA HEALTH CENTER,8 S Main St,Madison,04950-4501,207-696-3992,www.healthreachchc.org,48,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.86872846,44.79847643,Y,Somerset County,Somerset
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007041,STILLWATER HEALTH CARE,335 Stillwater Ave,Bangor,04401-3944,207-947-1111,,15,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.75964668,44.82224541,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-011735,HAN Lee School Based Community Health Center,Winn Rd,Lee,04455,207-794-6700,www.hanfqhc.org,40,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.29436727,45.38946911,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021644,KVHC Stearns Jr./Sr. High School,199 State St,Millinocket,04462-1545,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.70595666,45.66125301,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-024545,Miles Lane School,52 Miles Ln,Bucksport,04416-4667,207-469-6666,,32,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Bucksport Regional Health Center,110 Broadway,Bucksport,04416-4612,-68.77989812,44.57907165,Y,Hancock County,Hancock
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005791,ORONO COMMONS,117 Bennoch Rd,Orono,04473-3620,207-866-4914,,28,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.67938384,44.89401601,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-033929,Greater Portland Health at South Portland High School,637 Highland Ave,South Portland,04106-6425,207-874-2141,,20,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.26834626,43.62074217,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-002199,BREWER HIGH SCHOOL CLINIC,79 Parkway S,Brewer,04412-1627,207-992-2456,,40,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.75546638,44.78180747,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-007179,Eastport Health Care Calais,10 Palmer St,Calais,04619-1386,207-454-8300,http://www.eastporthealth.org,8,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Eastport Health Care Inc,30 Boynton St,Eastport,04631-1306,-67.26946316,45.18080936,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007298,THE MEADOWS,101 Perkins Ave,Old Town,04468-1740,207-827-0547,,1,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.6516745,44.92869799,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-004896,HELEN HUNT HEALTH CENTER,242 Brunswick St,Old Town,04468-1613,207-827-6128,,72,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.64660549,44.93265515,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-003154,EAST MACHIAS,893 Main St,East Machias,04630-4051,207-255-0102,www.rmcl.org,40,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,04652-3620,-67.41457997,44.72283902,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-012549,Dental Center,1048 Union St,Bangor,04401-3016,207-945-5247,,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80985806,44.81592596,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-003162,Adult Wellness Center,1068 Union St,Bangor,04401-3016,207-947-0147,,48,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.8104121,44.81668306,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-000601,"EASTPORT HEALTH CARE, INC.",30 Boynton St,Eastport,04631-1306,207-853-6001,http://www.eastporthealth.org,48,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Eastport Health Care Inc,30 Boynton St,Eastport,04631-1306,-66.98778677,44.90518837,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021124,Greater Portland Health at Lyman Moore Middle School,171 Auburn St,Portland,04103-2131,207-874-8150,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.28996453,43.70586895,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021126,Greater Portland Health at Reiche Community School,166 Brackett St,Portland,04102-3825,207-874-8175,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.26685629,43.65075781,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-003982,DFD RUSSELL MEDICAL CENTER - MONMOUTH,11 Academy Rd,Monmouth,04259-7035,207-524-3501,www.dfdrussell.org,46.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,04263-3418,-70.03471026,44.24461242,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-002683,Pines WOMEN & CHILDREN'S CENTER,163 Van Buren Rd STE 4,Caribou,04736-3567,207-498-1697,,54,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-68.00832021,46.8795874,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006183,SUNBURY VILLAGE RETIREMENT RESD.,992 Ohio St,Bangor,04401-2902,207-262-9600,,4,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80879387,44.82420525,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-006871,CUMMINGS HEALTH CARE NURSING HM,Crocker Ave,Howland,04448,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.66487355,45.25119039,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-002678,EAGLE LAKE HEALTH CENTER,10 Carter St,Eagle Lake,04739-3060,207-444-5973 x218,www.frrh.org,54,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.5949992,47.03638524,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-020998,Greater Portland Health at Ocean Avenue Elementary School,150 Ocean Ave,Portland,04103-5746,207-874-8180,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.28241185,43.67593676,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-012627,North Haven Medical Clinic,135 Main St,North Haven,04853-3320,207-867-2021,,8,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.87562515,44.13018339,Y,Knox County,Knox
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-000193,SHEEPSCOT VALLEY HEALTH CENTER,47 Main St,Whitefield,04353-3142,207-549-7581,www.healthreachchc.org,50.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.54683404,44.25598914,Y,Lincoln County,Lincoln
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021376,KVHC Milo Elementary,18 Belmont St,Milo,04463-1304,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.9817796,45.25066315,Y,Piscataquis County,Piscataquis
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-012733,Riverton Health Center,59 Riverton Dr,Portland,04103-1050,207-874-2141,www.portlandcommunityhealthcenter.org,36,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.31998951,43.69869513,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-017741,Sacopee Valley Health Center,122 S Hiram Rd,Hiram,04041-3647,207-625-8126,www.svhc.org,,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,04068-3527,-70.86954597,43.81154501,Y,Oxford County,Oxford
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-020912,Greater Portland Health at Longfellow Elementary School,432 Stevens Ave,Portland,04103-2607,207-874-8195,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.29523381,43.67289882,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-003215,DFD RUSSELL MEDICAL CENTER - LEEDS,180 Church Hill Rd,Leeds,04263-3418,207-524-3501,www.dfdrussell.org,51.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,04263-3418,-70.13643731,44.30139106,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021007,Greater Portland Health at East End School,195 North St,Portland,04101-2734,207-874-8228,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.25391815,43.67108946,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-008838,Maine Avenue Administration/Clinical Center,103 Maine Ave,Bangor,04401-4330,207-945-5247,http://www.pchcbangor.org/,,7,All Other Clinic Types,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80773777,44.80125776,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021122,Greater Portland Health at Lincoln Middle School,522 Stevens Ave,Portland,04103-2611,207-874-8145,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.29470248,43.67645153,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030128,School-Based Health Center-Madawaska,353 11th Ave,Madawaska,04756-3004,207-834-3971,frrh.org,4,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.33897062,47.33882664,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013481,Winterport Community Health Center,775 N Main St,Winterport,04496-3414,207-992-9200,,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.83960334,44.64501904,Y,Waldo County,Waldo
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-034246,EHC UMM Clinic,39 O Brien Ave,Machias,04654,207-255-0980,,40,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Eastport Health Care Inc,30 Boynton St,Eastport,04631-1306,-67.45798269,44.7102551,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-012527,Pines Washburn Health Center,1260 Main St,Washburn,04786-3225,207-498-2356,www.pineshealthservices.org,34,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-68.15705188,46.78802119,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019087,KVHC Katahdin Middle High School,800 Station Rd,Stacyville,04777-4121,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.4384939,45.9251711,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018700,Greater Portland Health at King Middle School,92 Deering Ave,Portland,04102-2901,207-874-8140,,22,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.2746922,43.65736367,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-032140,Greater Portland Health at Sagamore Village,68 Popham St,Portland,04102-1151,207-874-2141,,20,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.32286081,43.67604417,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-032241,Northern Pine Care Estates,35 Ridge Rd,Lee,04455-4418,207-738-4663,http://northernpinescare.com/,5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.29888744,45.39128765,Y,Penobscot County,Penobscot
